Song Title,Date of Service,Sermon Series
We Will Feast,13 Apr,Dangerous Questions for Grumblers (Malachi)
See What a Morning,20 Apr,"I Would Like To Believe, but... (Evangelistic Series)"
Because He Lives,20 Apr,"I Would Like To Believe, but... (Evangelistic Series)"
Christ Our Hope In Life and Death,20 Apr,"I Would Like To Believe, but... (Evangelistic Series)"
Before the Throne of God Above,20 Apr,"I Would Like To Believe, but... (Evangelistic Series)"
Living Hope,20 Apr,"I Would Like To Believe, but... (Evangelistic Series)"
Behold The Lamb,20 Apr,"I Would Like To Believe, but... (Evangelistic Series)"
Jesus Strong and Kind,27 Apr,"I Would Like To Believe, but... (Evangelistic Series)"
It Is Well,27 Apr,"I Would Like To Believe, but... (Evangelistic Series)"
We Will Feast,27 Apr,"I Would Like To Believe, but... (Evangelistic Series)"
There Is A Hope,27 Apr,"I Would Like To Believe, but... (Evangelistic Series)"
Take Heart,27 Apr,"I Would Like To Believe, but... (Evangelistic Series)"
Mighty Mighty Saviour ,4 May,"I Would Like To Believe, but... (Evangelistic Series)"
Hymn of the saviour ,4 May,"I Would Like To Believe, but... (Evangelistic Series)"
There Is One Gospel ,4 May,"I Would Like To Believe, but... (Evangelistic Series)"
Amazing Grace (hymn),4 May,"I Would Like To Believe, but... (Evangelistic Series)"
Thank You Jesus For The Blood,4 May,"I Would Like To Believe, but... (Evangelistic Series)"
My God Is All I Need,11 May,"I Would Like To Believe, but... (Evangelistic Series)"
Just as I Am,11 May,"I Would Like To Believe, but... (Evangelistic Series)"
Known & Loved,11 May,"I Would Like To Believe, but... (Evangelistic Series)"
Goodness of Jesus,11 May,"I Would Like To Believe, but... (Evangelistic Series)"
"Knowing you, Jesus",11 May,"I Would Like To Believe, but... (Evangelistic Series)"
Jesus Shall Take the highest honour,18 May,The Lamb Wins (Revelation 4-16)
Psalm 150 (praise the lord),18 May,The Lamb Wins (Revelation 4-16)
"Holy, Holy, Holy",18 May,The Lamb Wins (Revelation 4-16)
I Stand in awe of you,18 May,The Lamb Wins (Revelation 4-16)
All Creatures Of our god and king,18 May,The Lamb Wins (Revelation 4-16)
Glory to the lamb,25 May,The Lamb Wins (Revelation 4-16)
Hallelujah To The Lamb,25 May,The Lamb Wins (Revelation 4-16)
Holy Forever,25 May,The Lamb Wins (Revelation 4-16)
Hymn of Heaven,25 May,The Lamb Wins (Revelation 4-16)
Mighty Mighty Saviour ,1 Jun,The Lamb Wins (Revelation 4-16)
To Him Who Sits on The Throne,1 Jun,The Lamb Wins (Revelation 4-16)
Psalm 150 (praise the lord),1 Jun,The Lamb Wins (Revelation 4-16)
The Lord is my Salvation,1 Jun,The Lamb Wins (Revelation 4-16)
Hymn of Heaven,1 Jun,The Lamb Wins (Revelation 4-16)
He Calls me Friend,8 Jun,The Lamb Wins (Revelation 4-16)
Salvation Belongs To Our God,8 Jun,The Lamb Wins (Revelation 4-16)
Christ Our Hope In Life and Death,8 Jun,The Lamb Wins (Revelation 4-16)
He Will Hold Me Fast,8 Jun,The Lamb Wins (Revelation 4-16)
Yet Not I,8 Jun,The Lamb Wins (Revelation 4-16)
I'm gonna be like a tree,15 Jun,The Lamb Wins (Revelation 4-16)
Everlasting God (strength will rise),15 Jun,The Lamb Wins (Revelation 4-16)
Yet Not I,15 Jun,The Lamb Wins (Revelation 4-16)
O Church Arise ,15 Jun,The Lamb Wins (Revelation 4-16)
I Am the way The Truth And The Life,15 Jun,The Lamb Wins (Revelation 4-16)
Hallelujah All I have Is Christ,15 Jun,The Lamb Wins (Revelation 4-16)
My Hope Is Built on nothing less,15 Jun,The Lamb Wins (Revelation 4-16)
In Christ Alone,15 Jun,The Lamb Wins (Revelation 4-16)
Thy Word,15 Jun,The Lamb Wins (Revelation 4-16)
Living Hope,15 Jun,The Lamb Wins (Revelation 4-16)
Cornerstone,15 Jun,The Lamb Wins (Revelation 4-16)
O Church Arise ,15 Jun,The Lamb Wins (Revelation 4-16)
How Excellent Your name,22 Jun,The Lamb Wins (Revelation 4-16)
This Is My Father's World,22 Jun,The Lamb Wins (Revelation 4-16)
Bless The Lord O my Soul,22 Jun,The Lamb Wins (Revelation 4-16)
When We All Get To Heaven,22 Jun,The Lamb Wins (Revelation 4-16)
O Great God,22 Jun,The Lamb Wins (Revelation 4-16)
His Mercy is More,29 Jun,The Lamb Wins (Revelation 4-16)
The Love of God ,29 Jun,The Lamb Wins (Revelation 4-16)
The Goodness of Jesus,29 Jun,The Lamb Wins (Revelation 4-16)
Facing a Task Unfinished,29 Jun,The Lamb Wins (Revelation 4-16)
Because You First Loved Me,6 Jul,Anniversary Service
Come People Of The Risen King,6 Jul,Anniversary Service
Servant King,6 Jul,Anniversary Service
Behold The Lamb,6 Jul,Anniversary Service
How Good it Is,6 Jul,Anniversary Service
One Voice,6 Jul,Anniversary Service
He Is Lord,13 Jul,The Lamb Wins (Revelation 4-16)
We All Bow Down,13 Jul,The Lamb Wins (Revelation 4-16)
Blessed Be The Lord God Almighty,13 Jul,The Lamb Wins (Revelation 4-16)
I Will Wait For You,13 Jul,The Lamb Wins (Revelation 4-16)
For The Cause,13 Jul,The Lamb Wins (Revelation 4-16)
Mighty Mighty Saviour ,20 Jul,The Lamb Wins (Revelation 4-16)
You Alone Can Rescue,20 Jul,The Lamb Wins (Revelation 4-16)
Before the Throne of God Above,20 Jul,The Lamb Wins (Revelation 4-16)
It was Finished Upon That Cross,20 Jul,The Lamb Wins (Revelation 4-16)
Take heart,20 Jul,The Lamb Wins (Revelation 4-16)
Blessed Assurance,27 Jul,The Lamb Wins (Revelation 4-16)
Shout To The Lord,27 Jul,The Lamb Wins (Revelation 4-16)
"Still, my Soul Be Still",27 Jul,The Lamb Wins (Revelation 4-16)
It Is Well,27 Jul,The Lamb Wins (Revelation 4-16)
Let Us Exalt his Name,27 Jul,The Lamb Wins (Revelation 4-16)
Christ Has Risen,3 Aug,The Lamb Wins (Revelation 4-16)
We Will Feast,3 Aug,The Lamb Wins (Revelation 4-16)
King of kings ,3 Aug,The Lamb Wins (Revelation 4-16)
He Will Hold Me Fast,3 Aug,The Lamb Wins (Revelation 4-16)
O Church Arise ,3 Aug,The Lamb Wins (Revelation 4-16)
I Will Celebrate,10 Aug,The Lamb Wins (Revelation 4-16)
Made Us Your Own,10 Aug,The Lamb Wins (Revelation 4-16)
Hallelujah To The Lamb,10 Aug,The Lamb Wins (Revelation 4-16)
Lord of Lords,10 Aug,The Lamb Wins (Revelation 4-16)
Hymn of Heaven,10 Aug,The Lamb Wins (Revelation 4-16)
Your Love,17 Aug,The Lamb Wins (Revelation 4-16)
Ancient of Days,17 Aug,The Lamb Wins (Revelation 4-16)
We Belong To The Day,17 Aug,The Lamb Wins (Revelation 4-16)
O Great God,17 Aug,The Lamb Wins (Revelation 4-16)
Christ Our Hope In Life and Death,17 Aug,The Lamb Wins (Revelation 4-16)
God's Big Family,24 Aug,MIssions Month
How Great Is Our God,24 Aug,MIssions Month
Worthy Is The Lamb,24 Aug,MIssions Month
Fill my Eyes O My God,24 Aug,MIssions Month
Hear The Call,24 Aug,MIssions Month
No Other Name,31 Aug,MIssions Month
Jesus Shall Take the highest honour,31 Aug,MIssions Month
Servants Of The Gospel,31 Aug,MIssions Month
One Voice,31 Aug,MIssions Month
Yet Not I,31 Aug,MIssions Month
I Will Celebrate,7 Sep,MIssions Month
Made Me Glad,7 Sep,MIssions Month
Through It All,7 Sep,MIssions Month
We Belong To The Day,7 Sep,MIssions Month
Facing a Task Unfinished,7 Sep,MIssions Month
I Am The way The Truth And The Life,14 Sep,MIssions Month
Your Word (Emu),14 Sep,MIssions Month
Hymn of the saviour ,14 Sep,MIssions Month
The Mission,14 Sep,MIssions Month
Servant King,14 Sep,MIssions Month
Your Love,21 Sep,MIssions Month
How Deep The Father's Love,21 Sep,MIssions Month
Here I Am To Worship,21 Sep,MIssions Month
When I Look Into Your Holiness,21 Sep,MIssions Month
In Moments Like These,21 Sep,MIssions Month
Known and Loved,21 Sep,MIssions Month
Jesus Strong and Kind,28 Sep,Sex in the City (Song of Songs)
Goodness of God,28 Sep,Sex in the City (Song of Songs)
Here Is Love,28 Sep,Sex in the City (Song of Songs)
I Love You lord (and I lift my voice),28 Sep,Sex in the City (Song of Songs)
As The Deer,28 Sep,Sex in the City (Song of Songs)
"Wide, Wide as the Ocean",5 Oct,Sex in the City (Song of Songs)
The Love of God,5 Oct,Sex in the City (Song of Songs)
My Worth Is Not in What I Own,5 Oct,Sex in the City (Song of Songs)
Just as I Am,5 Oct,Sex in the City (Song of Songs)
Rejoice,5 Oct,Sex in the City (Song of Songs)
Lord I Lift Your name On High,12 Oct,Sex in the City (Song of Songs)
The Lord is my Salvation,12 Oct,Sex in the City (Song of Songs)
I'm Forever Grateful,12 Oct,Sex in the City (Song of Songs)
Hallelujah What A Saviour,12 Oct,Sex in the City (Song of Songs)
At The Cross,12 Oct,Sex in the City (Song of Songs)
His Banner Over me Is Love,19 Oct,Sex in the City (Song of Songs)
Take My Life and Let It Be,19 Oct,Sex in the City (Song of Songs)
Come Thou Fount,19 Oct,Sex in the City (Song of Songs)
"Be Still, my Soul",19 Oct,Sex in the City (Song of Songs)
All to Jesus I Surrender,19 Oct,Sex in the City (Song of Songs)
Turn Your Eyes,19 Oct,Sex in the City (Song of Songs)
His Mercy is More,26 Oct,Sex in the City (Song of Songs)
Before the Throne of God Above,26 Oct,Sex in the City (Song of Songs)
He WIll Hold Me Fast,26 Oct,Sex in the City (Song of Songs)
Through It All,26 Oct,Sex in the City (Song of Songs)
Christ is Mine Forevermore,26 Oct,Sex in the City (Song of Songs)
God's Great Family,2 Nov,Membership Sunday
"Jesus, Thank You",2 Nov,Membership Sunday
We Declare,2 Nov,Membership Sunday
O How Good It Is,2 Nov,Membership Sunday
One Voice,2 Nov,Membership Sunday
Mighty Mighty Saviour ,9 Nov,The Loving Kindness of Our God (Ruth)
Calling All Sinners,9 Nov,The Loving Kindness of Our God (Ruth)
It was Finished Upon That Cross,9 Nov,The Loving Kindness of Our God (Ruth)
Beneath The Cross of Jesus,9 Nov,The Loving Kindness of Our God (Ruth)
O Great God,9 Nov,The Loving Kindness of Our God (Ruth)
Jesus Came To Earth,16 Nov,The Loving Kindness of Our God (Ruth)
There Is a Redeemer (Keith Green),16 Nov,The Loving Kindness of Our God (Ruth)
Jesus Paid It All,16 Nov,The Loving Kindness of Our God (Ruth)
At The Cross,16 Nov,The Loving Kindness of Our God (Ruth)
I Stand Amazed (Glasbyrd),16 Nov,The Loving Kindness of Our God (Ruth)
My God Is All I Need,23 Nov,The Loving Kindness of Our God (Ruth)
Come Praise and Glorify,23 Nov,The Loving Kindness of Our God (Ruth)
Nothing Can I Boast In,23 Nov,The Loving Kindness of Our God (Ruth)
The Steadast Love Of the Lord never ceases,23 Nov,The Loving Kindness of Our God (Ruth)
I Will Trust My Saviour Jesus,23 Nov,The Loving Kindness of Our God (Ruth)
He's Able,30 Nov,The Loving Kindness of Our God (Ruth)
I Will Sing of My Redeemer,30 Nov,The Loving Kindness of Our God (Ruth)
Jesus SHall Take the highest honour,30 Nov,The Loving Kindness of Our God (Ruth)
How Deep the Father's Love For Us,30 Nov,The Loving Kindness of Our God (Ruth)
There Is a Hope,30 Nov,The Loving Kindness of Our God (Ruth)
The First Noel,7 Dec,Christmas Carols
O Come All Ye Faithful,7 Dec,Christmas Carols
Joy To The World,7 Dec,Christmas Carols
O Come O Come Emmanuel,7 Dec,Christmas Carols
What Child Is This,14 Dec,Christmas Carols
Angels We Have Heard On High,14 Dec,Christmas Carols
Joy To The World,14 Dec,Christmas Carols
The First Noel,21 Dec,Christmas Carols
Angels We Have Heard On High,21 Dec,Christmas Carols
It Came Upon a Midnight Clear,21 Dec,Christmas Carols
Silent Night,21 Dec,Christmas Carols
O Come All You Unfaithful,21 Dec,Christmas Carols
Hark The Herald Angels Sing,25 Dec,Christmas Carols
Joy To The World,25 Dec,Christmas Carols
O Come All Ye Faithful,25 Dec,Christmas Carols
Joy Has Dawned,25 Dec,Christmas Carols
O Holy Night,25 Dec,Christmas Carols
O Come All You Unfaithful,25 Dec,Christmas Carols
Jesus Is The King,28 Dec,Christmas Carols
In Christ Alone,28 Dec,Christmas Carols
Cornerstone (Hillsong),28 Dec,Christmas Carols
He Leadeth me,28 Dec,End of year service
